Name,Franchise_Name,Is_Franchise,Platform,Year,Release_Month,Genre,Publisher,Developer,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Wii Sports,Wii Sports,0,Wii,2006.0,11.0,Sports,Nintendo,Nintendo,E,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8,322.0
Super Mario Bros.,Super Mario Bros.,1,NES,1985.0,10.0,Platform,Nintendo,,,29.08,3.58,6.81,0.77,40.24,,,,
Mario Kart Wii,Mario Kart Wii,0,Wii,2008.0,4.0,Racing,Nintendo,Nintendo,E,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0
Wii Sports Resort,Wii Sports Resort,0,Wii,2009.0,7.0,Sports,Nintendo,Nintendo,E,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8,192.0
Pokemon Red/Pokemon Blue,Pokemon Red/Pokemon Blue,0,GB,1996.0,,Role-Playing,Nintendo,,,11.27,8.89,10.22,1.0,31.37,,,,
Tetris,Tetris,1,GB,1989.0,7.0,Puzzle,Nintendo,,,23.2,2.26,4.22,0.58,30.26,,,,
New Super Mario Bros.,New Super Mario Bros.,1,DS,2006.0,5.0,Platform,Nintendo,Nintendo,E,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0
Wii Play,Wii Play,1,Wii,2006.0,2.0,Misc,Nintendo,Nintendo,E,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0
New Super Mario Bros. Wii,New Super Mario Bros. Wii,0,Wii,2009.0,11.0,Platform,Nintendo,Nintendo,E,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0
Duck Hunt,Duck Hunt,0,NES,1984.0,10.0,Shooter,Nintendo,,,26.93,0.63,0.28,0.47,28.31,,,,
Nintendogs,Nintendogs,0,DS,2005.0,8.0,Simulation,Nintendo,,,9.05,10.95,1.93,2.74,24.67,,,,
Mario Kart DS,Mario Kart DS,0,DS,2005.0,11.0,Racing,Nintendo,Nintendo,E,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0
Pokemon Gold/Pokemon Silver,Pokemon Gold/Pokemon Silver,0,GB,1999.0,,Role-Playing,Nintendo,,,9.0,6.18,7.2,0.71,23.1,,,,
Wii Fit,Wii Fit,0,Wii,2007.0,5.0,Sports,Nintendo,Nintendo,E,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0
